Universidad;Título;Tipo de universidad;Nota de corte 2019/2020;Nota media de admisión 2019/2020;Ofertas de plazas curso 2019/2020;Créditos necesarios;Precio del crédito 2019/2020
Universidad Europea del Atlántico;Grado en Traducción e Interpretación;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Traducción e Interpretación;Privada / Propio;-;-;-;240;
Universidad Nacional de Educación a Distancia;Grado en Estudios Ingleses. Lengua, Literatura y Cultura;Pública / Propio;-;6.69;-;240;13,00 €
Universidad Nacional de Educación a Distancia;Grado en Lengua y Literatura Españolas;Pública / Propio;-;6.66;-;240;13,00 €
Universidad Pontificia Comillas;Grado en Traducción e Interpretación;Privada / Propio;-;-;-;240;
Universidad Ramón Llull;Grado en Lenguas Aplicadas y Traducción (Inglés);Privada / Propio;-;-;-;240;
Universidad San Jorge;Grado en Traducción y Comunicación Intercultural;Privada / Propio;-;-;-;240;
Universidad San Jorge;Grado en Traducción y Comunicación Intercultural;Privada / Adscrito;-;-;-;240;
Universitat Internacional Valenciana;Grado en Traducción e Interpretación;Privada / Propio;-;-;-;240;
Universitat Oberta de Catalunya;Grado en Lengua y Literatura Catalanas;Privada / Propio;-;-;250;240;
Universitat Oberta de Catalunya;Grado en Traducción, Interpretación y Lenguas Aplicadas;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Historia;Privada / Propio;-;-;-;240;
Universidad Católica de Valencia San Vicente Mártir;Grado en Filosofía;Privada / Propio;-;-;-;240;
Universidad Católica de Valencia San Vicente Mártir;Grado en Historia;Privada / Propio;-;-;-;240;
Universidad de Lleida;Grado en Historia, Geografía e Historia del Arte;Pública / Propio;-;-;-;240;
Universidad de Navarra;Grado en Filosofía;Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Historia;Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Humanidades;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Humanidades;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Humanidades;Privada / Propio;-;-;-;240;
Universidad Internacional Isabel I de Castilla;Grado en Historia y Geografía;Privada / Propio;-;-;-;240;
Universidad Nacional de Educación a Distancia;Grado en Filosofía;Pública / Propio;-;6.76;-;240;13,00 €
Universidad Nacional de Educación a Distancia;Grado en Geografía e Historia;Pública / Propio;-;6.08;-;240;13,00 €
Universidad Pompeu Fabra;Grado en Estudios Globales (Global Studies);Pública / Propio;-;-;-;240;
Universidad Pontificia Comillas;Grado en Filosofía;Privada / Propio;-;-;-;240;
Universidad Ramón Llull;Grado en Filosofía;Privada / Propio;-;-;20;240;
Universidad Rovira i Virgili;Grado en Historia;Pública / Propio;-;-;-;240;25,27 €
Universidad Rovira i Virgili;Grado en Historia del Arte y Arqueología;Pública / Propio;-;-;-;240;25,27 €
Universidad San Pablo- CEU;Grado en Historia;Privada / Propio;-;-;-;240;
Universidad San Pablo- CEU;Grado en Humanidades;Privada / Propio;-;-;-;240;
Universitat Internacional de Catalunya;Grado en Humanidades y Estudios Culturales;Privada / Propio;-;-;40;240;
Universitat Oberta de Catalunya;Grado en Historia, Geografía e Historia del Arte;Privada / Propio;-;-;400;240;
Universitat Oberta de Catalunya;Grado en Humanidades;Privada / Propio;-;-;400;240;
IE Universidad;Grado en Comportamiento y Ciencias Sociales / Bachelor in Behavior and Social Sciences;Privada / Propio;-;-;-;240;
IE Universidad;Grado en Comportamiento y Ciencias Sociales / Bachelor in Behavior and Social Sciences;Privada / Adscrito;-;-;-;240;
IE Universidad;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Alfonso X El Sabio;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Camilo José Cela;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Católica de Valencia San Vicente Mártir;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Católica Santa Teresa de Jesús de Ávila;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad de Deusto;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad de Zaragoza;Grado en Psicología;Pública / Propio;-;-;-;240;
Universidad Europea de Canarias;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Europea de Valencia;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Europea del Atlántico;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Europea Miguel de Cervantes;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Fernando Pessoa-Canarias (UFP-C);Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Internacional Isabel I de Castilla;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Internacional Villanueva;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Nacional de Educación a Distancia;Grado en Psicología;Pública / Propio;-;6.32;-;240;15,95 €
Universidad Pontificia Comillas;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Pontificia de Salamanca;Grado en Psicología;Privada / Propio;-;-;-;240;
Universidad Ramón Llull;Grado en Psicología;Privada / Propio;-;-;160;240;
Universidad San Pablo- CEU;Grado en Psicología;Privada / Propio;-;-;-;240;
Universitat Abat Oliba CEU;Grado en Psicología;Privada / Propio;-;-;-;240;
Universitat Internacional de Catalunya;Grado en Psicología;Privada / Propio;-;-;60;240;
Universitat Internacional Valenciana;Grado en Psicología;Privada / Propio;-;-;-;240;
Universitat Oberta de Catalunya;Grado en Psicología;Privada / Propio;-;-;2800;240;
IE Universidad;Grado en Economía / Bachelor in Economics;Privada / Adscrito;-;-;-;240;
IE Universidad;Grado en Economía / Bachelor in Economics;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Economía;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Economía;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Economía y Negocios Internacionales;Privada / Propio;-;-;-;240;
Universidad Católica de Valencia San Vicente Mártir;Grado en Economía;Privada / Propio;-;-;-;240;
Universidad Católica Santa Teresa de Jesús de Ávila;Grado en Economía;Privada / Propio;-;-;-;240;
Universidad de Alcalá;Grado en Economía;Pública / Propio;-;-;-;240;
Universidad de Alcalá;Grado en Economía y Negocios Internacionales;Pública / Propio;-;-;-;240;
Universidad de Navarra;Grado en Economía;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Economía;Privada / Propio;-;-;-;240;
Universidad Nacional de Educación a Distancia;Grado en Economía;Pública / Propio;-;6.35;-;240;13,20 €
Universidad Ramón Llull;Grado en Gobernanza Global, Economía y Orden Legal / Bachelor in Global Governance, Economics and Legal Order;Privada / Propio;-;-;115;240;
Universidad San Pablo- CEU;Grado en Economía;Privada / Propio;-;-;-;240;
Universitat Abat Oliba CEU;Grado en Economía y Gestión;Privada / Propio;-;-;-;240;
Universitat Internacional Valenciana;Grado en Economía;Privada / Propio;-;-;-;240;
Universitat Oberta de Catalunya;Grado en Economía;Privada / Propio;-;-;500;240;
IE Universidad;Grado en Política, Derecho y Economía / Bachelor in Politics, Law and Economics;Privada / Propio;-;-;-;240;
IE Universidad;Grado en Política, Derecho y Economía / Bachelor in Politics, Law and Economics;Privada / Adscrito;-;-;-;240;
IE Universidad;Grado en Relaciones Internacionales / Bachelor in International Relations;Privada / Propio;-;-;-;240;
IE Universidad;Grado en Relaciones Internacionales / Bachelor in International Relations;Privada / Adscrito;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Alfonso X El Sabio;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad Autónoma de Barcelona;Grado en Filosofía, Política y Economía;Pública / Propio;-;-;-;240;
Universidad Autónoma de Madrid;Grado en Filosofía, Política y Economía;Pública / Propio;-;-;15;240;21,39 €
Universidad Camilo José Cela;Grado en Criminología y Seguridad;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Ciencias Políticas;Privada / Propio;-;-;-;240;
Universidad Católica de Valencia San Vicente Mártir;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad de Deusto;Grado en Filosofía, Política y Economía;Privada / Propio;-;-;-;240;
Universidad de Deusto;Grado en Filosofía, Política y Economía;Privada / Propio;-;-;-;240;
Universidad de Deusto;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Filosofía, Política y Economía (Philosophy, Politics and Economics);Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad de Valladolid;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;-;-;-;240;
Universidad de Valladolid;Grado en Criminología;Pública / Propio;-;-;-;240;14,05 €
Universidad Europea de Madrid;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad Europea de Valencia;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Europea de Valencia;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad Europea Miguel de Cervantes;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Fernando Pessoa-Canarias (UFP-C);Grado en Antropología Social y Cultural;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Filosofía, Política y Economía;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Ciencias Políticas y Gestión Pública;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Internacional Isabel I de Castilla;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad Nacional de Educación a Distancia;Grado en Antropología Social y Cultural;Pública / Propio;-;6.68;-;240;13,00 €
Universidad Nacional de Educación a Distancia;Grado en Ciencia Política y de la Administración;Pública / Propio;-;6.54;-;240;13,00 €
Universidad Nacional de Educación a Distancia;Grado en Criminología;Pública / Propio;-;6.19;-;240;15,95 €
Universidad Nacional de Educación a Distancia;Grado en Sociología;Pública / Propio;-;n/d;-;240;13,00 €
Universidad Pompeu Fabra;Grado en Ciencias Urbanas / Urban Sciences;Pública / Adscrito;-;-;-;180;
Universidad Pontificia Comillas;Grado en Criminología;Privada / Propio;-;-;-;240;
Universidad Pontificia Comillas;Grado en Filosofía, Política y Economía;Privada / Propio;-;-;-;240;
Universidad Pontificia Comillas;Grado en Filosofía, Política y Economía;Privada / Propio;-;-;-;240;
Universidad Pontificia Comillas;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universidad Pontificia de Salamanca;Grado en Sociología;Privada / Propio;-;-;-;240;
Universidad Ramón Llull;Grado en Filosofía, Política y Economía;Privada / Propio;-;-;30;240;
Universidad Ramón Llull;Grado en Relaciones internacionales;Privada / Propio;-;-;80;240;
Universidad San Pablo- CEU;Grado en Ciencias Criminológicas y de la Seguridad;Privada / Propio;-;-;-;240;
Universidad San Pablo- CEU;Grado en Relaciones Internacionales y Unión Europea;Privada / Propio;-;-;-;240;
Universitat Abat Oliba CEU;Grado en Ciencias Políticas;Privada / Propio;-;-;-;240;
Universitat Abat Oliba CEU;Grado en Criminología y Seguridad;Privada / Propio;-;-;-;240;
Universitat Internacional Valenciana;Grado en Criminología y Ciencias de la Seguridad;Privada / Propio;-;-;-;240;
Universitat Internacional Valenciana;Grado en Relaciones Internacionales;Privada / Propio;-;-;-;240;
Universitat Oberta de Catalunya;Grado en Antropología y Evolución Humana;Privada / Propio;-;-;-;240;
Universitat Oberta de Catalunya;Grado en Ciencias Sociales;Privada / Propio;-;-;250;240;
Universitat Oberta de Catalunya;Grado en Criminología;Privada / Propio;-;-;600;240;
Universitat Oberta de Catalunya;Grado en Relaciones Internacionales;Privada / Propio;-;-;350;240;
IE Universidad;Grado en Comunicación;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Camilo José Cela;Grado en Comunicación / Bachelor of Communication;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Comunicación;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad del Atlántico Medio;Grado en Comunicación;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Comunicación Global y Estratégica;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Europea del Atlántico;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Europea Miguel de Cervantes;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Fernando Pessoa-Canarias (UFP-C);Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Comunicación;Privada / Propio;-;-;-;240;
Universidad Internacional Villanueva;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Comunicación;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Comunicación;Privada / Propio;-;-;-;240;
Universidad Pontificia Comillas;Grado en Comunicación Internacional - Bachelor in Global Communication;Privada / Propio;-;-;-;240;
Universidad Pontificia Comillas;Grado en Periodismo;Privada / Adscrito;-;-;30;240;
Universidad Pontificia de Salamanca;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad Ramón Llull;Grado en Gestión de la Comunicación Global / Global Communication Management;Privada / Propio;-;-;60;240;
Universidad Ramón Llull;Grado en Periodismo y Comunicación Corporativa;Privada / Propio;-;-;-;240;
Universidad San Jorge;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universidad San Pablo- CEU;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universitat Abat Oliba CEU;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universitat de les Illes Balears;Grado en Periodismo;Pública / Adscrito;-;-;-;240;
Universitat Internacional de Catalunya;Grado en Periodismo;Privada / Propio;-;-;-;240;
Universitat Oberta de Catalunya;Grado en Comunicación;Privada / Propio;-;-;900;240;
CUNEF Universidad;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
ESIC Universidad;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
ESIC Universidad;Grado en Negocios Internacionales / International Business;Privada / Propio;-;-;-;240;
IE Universidad;Grado en Administración de Empresas / Bachelor in Business Administration;Privada / Propio;-;-;-;240;
IE Universidad;Grado en Administración de Empresas / Bachelor in Business Administration;Privada / Adscrito;-;-;-;240;
IE Universidad;Grado en Administración de Empresas / Business Administration;Privada / Propio;-;-;-;240;
IE Universidad;Grado en Administración de Empresas / Business Administration;Privada / Adscrito;-;-;-;240;
Mondragón Unibertsitatea;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Mondragón Unibertsitatea;Grado en Business Data Analytics;Privada / Propio;-;-;-;240;
Mondragón Unibertsitatea;Grado en Liderazgo Emprendedor e Innovación;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Ciencias del Trabajo, Relaciones Laborales y Recursos Humanos;Privada / Propio;-;-;-;240;
Universidad Alfonso X El Sabio;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Creación, Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Camilo José Cela;Grado en Administración de Empresas;Privada / Adscrito;-;-;-;240;
Universidad Camilo José Cela;Grado en Emprendimiento y Gestión de Empresas;Privada / Propio;-;-;-;240;
Universidad Camilo José Cela;Grado en Empresa y Tecnología / Bachelor of Management and Technology;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Católica de Valencia San Vicente Mártir;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Católica de Valencia San Vicente Mártir;Grado en Gestión Económico-Financiera;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Relaciones Laborales y Recursos Humanos;Privada / Propio;-;-;-;240;
Universidad Católica Santa Teresa de Jesús de Ávila;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Complutense de Madrid;Grado en Gestión Informática Empresarial;Pública / Adscrito;-;-;-;240;
Universidad de Burgos;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;-;6.8;-;240;14,05 €
Universidad de Burgos;Grado en Relaciones Laborales y Recursos Humanos;Pública / Adscrito;-;-;-;240;
Universidad de Castilla- La Mancha;Grado en Gestión y Administración Pública;Pública / Propio;-;-;-;240;12,13 €
Universidad de Castilla- La Mancha;Grado en Gestión y Administración Pública;Pública / Propio;-;-;-;240;12,13 €
Universidad de Deusto;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad de Deusto;Grado en Relaciones Laborales;Privada / Propio;-;-;-;240;
Universidad de Granada;Grado en Gestión y Administración Pública;Pública / Propio;-;-;-;240;12,62 €
Universidad de Navarra;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Asistencia de Dirección-Management Assistance;Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Asistencia de Dirección-Management Assistance;Privada / Propio;-;-;-;240;
Universidad de Navarra;Grado en Asistencia de Dirección-Management Assistant;Privada / Propio;-;-;-;240;
Universidad de Sevilla;Grado en Gestión y Administración Pública;Pública / Propio;-;n/d;-;240;12,62 €
Universidad de Vic- Universidad Central de Catalunya;Grado en Negocios Internacionales;Privada / Adscrito;-;-;60;240;
Universidad del Atlántico Medio;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Gestión y Marketing Empresarial;Pública / Adscrito;-;6.33;100;240;
Universidad Europea de Canarias;Grado en Dirección y Creación de Empresas;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Dirección y Creación de Empresas;Privada / Adscrito;-;-;-;240;
Universidad Europea de Madrid;Grado en Dirección y Creación de Empresas;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Gestión Empresarial Basada en el Análisis De Datos (Business Analytics);Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Negocios Internacionales (International Business);Privada / Propio;-;-;-;240;
Universidad Europea de Valencia;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Europea del Atlántico;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Europea Miguel de Cervantes;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Análisis de Negocios / Business Analytics;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Recursos Humanos y Relaciones Laborales;Privada / Propio;-;-;-;240;
Universidad Internacional Isabel I de Castilla;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Internacional Villanueva;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Loyola Andalucía;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Nacional de Educación a Distancia;Grado en Administración y Dirección de Empresas;Pública / Propio;-;6.22;-;240;13,20 €
Universidad Nacional de Educación a Distancia;Grado en Ciencias Jurídicas de las Administraciones Públicas;Pública / Propio;-;n/d;-;240;13,00 €
Universidad Politécnica de Madrid;Grado en Administración y Dirección de Empresas;Pública / Propio;-;n/d;-;240;26,14 €
Universidad Pontificia Comillas;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad Pontificia Comillas;Grado en Análisis de Negocios/ Business Analytics;Privada / Propio;-;-;-;240;
Universidad Pontificia de Salamanca;Grado en Administración y Dirección de Empresas Tecnológicas;Privada / Propio;-;-;-;240;
Universidad Ramón Llull;Grado en Administración y Dirección de Empresas/Business Administration and Management;Privada / Propio;-;-;160;240;
Universidad Ramón Llull;Grado en Dirección de Empresas (BBA);Privada / Propio;-;-;370;240;
Universidad Ramón Llull;Grado en Dirección de Empresas Tecnológicas;Privada / Propio;-;-;-;240;
Universidad Ramón Llull;Grado en Diseño e Innovación de Negocios Digitales / Digital Business Design and Innovation;Privada / Propio;-;-;-;180;
Universidad San Jorge;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad San Jorge;Grado en Administración y Dirección de Empresas;Privada / Adscrito;-;-;-;240;
Universidad San Pablo- CEU;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universidad San Pablo- CEU;Grado en Inteligencia de Negocios;Privada / Propio;-;-;-;240;
Universidad San Pablo- CEU;Grado en Marketing y Gestión Comercial;Privada / Propio;-;-;-;240;
Universitat Abat Oliba CEU;Grado en Dirección de Empresas;Privada / Propio;-;-;-;240;
Universitat de les Illes Balears;Grado en Administración de Empresas;Pública / Propio;-;-;-;240;13,53 €
Universitat de les Illes Balears;Grado en Administración de Empresas;Pública / Propio;-;-;-;240;13,53 €
Universitat Internacional de Catalunya;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;100;240;
Universitat Internacional Valenciana;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;-;240;
Universitat Oberta de Catalunya;Grado en Administración y Dirección de Empresas;Privada / Propio;-;-;1800;240;
Universitat Oberta de Catalunya;Grado en Gestión y Administración Pública;Privada / Propio;-;-;250;240;
Universitat Oberta de Catalunya;Grado en Relaciones Laborales y Ocupación;Privada / Propio;-;-;800;240;
ESIC Universidad;Grado en Dirección y Gestión de Empresas en el Ámbito Digital;Privada / Propio;-;-;-;240;
ESIC Universidad;Grado en Marketing;Privada / Propio;-;-;-;240;
ESIC Universidad;Grado en Publicidad y Relaciones Públicas;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Marketing;Privada / Propio;-;-;-;240;
Universidad a Distancia de Madrid;Grado en Publicidad y Relaciones Públicas;Privada / Propio;-;-;-;240;
Universidad Alfonso X El Sabio;Grado en Dirección Comercial y Marketing;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Comunicación Corporativa, Protocolo y Organización de Eventos;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Finanzas y Seguros;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Marketing;Privada / Propio;-;-;-;240;
Universidad Antonio de Nebrija;Grado en Publicidad y Relaciones Públicas;Privada / Propio;-;-;-;240;
Universidad Camilo José Cela;Grado en Protocolo y Organización de Eventos;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Marketing;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Marketing;Privada / Propio;-;-;-;240;
Universidad Cardenal Herrera-CEU;Grado en Publicidad y Relaciones Públicas;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Marketing y Dirección Comercial;Privada / Propio;-;-;-;240;
Universidad Católica San Antonio;Grado en Publicidad y Relaciones Públicas;Privada / Propio;-;-;-;240;
Universidad de Alcalá;Grado en Finanzas;Pública / Propio;-;-;-;240;
Universidad de Girona;Grado en Marketing;Pública / Adscrito;-;-;60;240;
Universidad de La Laguna;Grado en Contabilidad y Finanzas;Pública / Propio;-;-;-;240;10,16 €
Universidad de Navarra;Grado en Marketing;Privada / Propio;-;-;-;240;
Universidad de Vic- Universidad Central de Catalunya;Grado en Publicidad, Marketing y Relaciones Públicas;Privada / Adscrito;-;-;110;240;
Universidad del Atlántico Medio;Grado en Protocolo y Organización de Eventos;Privada / Propio;-;-;-;180;
Universidad Europea de Canarias;Grado en Comunicación Publicitaria;Privada / Propio;-;-;-;240;
Universidad Europea de Canarias;Grado en Marketing y Dirección Comercial;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Marketing;Privada / Propio;-;-;-;240;
Universidad Europea de Madrid;Grado en Publicidad;Privada / Propio;-;-;-;240;
Universidad Europea de Valencia;Grado en Marketing;Privada / Propio;-;-;-;240;
Universidad Europea de Valencia;Grado en Marketing y Dirección Comercial;Privada / Propio;-;-;-;240;
Universidad Europea del Atlántico;Grado en Publicidad y Relaciones Públicas;Privada / Propio;-;-;-;240;
Universidad Europea Miguel de Cervantes;Grado en Publicidad y Relaciones Públicas;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Marketing;Privada / Propio;-;-;-;240;
Universidad Francisco de Vitoria;Grado en Publicidad;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Finanzas y Contabilidad;Privada / Propio;-;-;-;240;
Universidad Internacional de La Rioja;Grado en Marketing y Comercialización Internacional;Privada / Propio;-;-;-;240;
Universidad Internacional Villanueva;Grado en Publicidad y Relaciones Públicas;Privada / Propio;-;-;-;240;
Universidad Miguel Hernández de Elche;Grado en Gestión Comercial y Marketing;Pública / Propio;-;-;-;240;
Universidad Pontificia Comillas;Grado en Publicidad y Relaciones Públicas;Privada / Adscrito;-;-;60;240;
Universidad Pontificia de Salamanca;Grado en Marketing y Comunicación;Privada / Propio;-;-;-;240;
